Gene	S1	S2	S3	S4	S5	S6	S7	S8
BECN1	0.900342	0.624457	0.910056	1.19911	1.02905	0.622444	0.956222	0.886509
BECN1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BECN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEGAIN	0.0	0.0	0.0	0.011556	0.0	0.0	0.0	0.0791085
BEND2	0.0	0.0303266	0.0295899	0.0604371	0.122176	0.0188672	0.0	0.0
BEND3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEND3P1	0.407169	0.870131	0.84292	0.608895	0.2855925	0.87186	0.632225	1.1541053186669998
BEND3P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEND3P3	0.410833	0.50007	0.772839	0.712495	0.388965	0.346856	0.190269	0.485543
BEND4	0.6369767999999999	0.0	0.22956235	0.0	0.466363	0.1335897	0.539376	0.0392097
BEND5	0.0	0.0	0.0	0.180545	0.0	0.230061	0.0	0.365532
BEND6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEND7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEND7P1	0.0	0.202564	0.111432	0.0	0.106389	0.412337	0.0	0.0
BEST1	0.0	0.0	0.115319	0.0816879	0.0	0.0	0.0621228	0.0
BEST2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BEST3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BET1	0.217086	0.477605	0.45542	0.546337	0.200341	0.320391	0.592343	0.0
BET1L	1.36811	1.7017	1.28203	1.28467	0.158135	0.373892	1.54848	2.54555
BET1P1	4.22464	8.5578	4.26972	6.32242	4.61365	7.06882	5.02313	3.63413
BEX2	1.72566	2.14498	1.49282	3.27176	0.407962	3.69588	0.488457	2.85968
BEX3	14.6445	11.5814	5.41552	16.676	10.8427	14.2727	6.23023	8.70743
BEX4	2.53806	3.33281	3.99639	6.66029	2.49125	2.79423	3.21089	3.34001
BEX5	0.850035	2.337685	0.4699525	1.795655	0.0	1.03191	0.0	0.4264505
BFAR	0.446322	0.461512	0.419023	0.700043	0.672337	0.416688	0.811865	0.568833
BFSP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BFSP2	0.0	0.0	0.425819	0.0	0.262318	0.130166	0.997498	0.0
BGLAP	0.10692	0.082056	0.0	0.0	0.219797	0.303111	0.204923	0.207783
BGN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHLHA15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHLHB9	0.116214	0.2167885	0.10412504879159999	0.117737	0.10965559999999999	0.2505295	0.1365871	0.29269
BHLHB9P1	0.0	0.0	0.0	0.0468187	0.0457974	0.0	0.0	0.0
BHLHE23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHLHE40	1.480045	2.1875795	3.9021095	1.754695	2.266352	2.01302	3.429805	1.97144
BHLHE41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHMT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHMT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BICC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BICD1	0.294215	0.473135	0.349693	0.390123	0.472071	0.782901	0.322025	0.408257
BICD1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BICD2	12.3271	14.2773	10.9482	14.6499	11.5409	13.0281	16.0408	14.326
BICDL1	0.931515	0.393427	0.640106	0.924799	1.39568	0.883137	1.04327	0.620117
BICDL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BICRA	0.2884795	0.3767335	0.43365449999999994	0.383392	0.2789275	0.3737205	0.462172	0.4597835
BICRAL	2.45778	1.75343	2.42516	3.70966	2.03146	3.01079	4.10063	3.23461
BID	0.786431	0.472668	0.453758	0.683042	0.404106	0.716487	0.331896	0.44903
BIN1	0.254105	0.165547	0.224477	0.483181	0.196468	0.563402	0.891925	1.81234
BIN2	0.433492	0.72713	0.739401	0.386451	1.28808	0.540434	1.05353	1.26108
BIN2P1	0.257722	0.146129	0.385332	0.0775446	0.127287	0.117978	0.0913849	0.492065
BIN2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIN3	1.52844	1.42504	1.63526	1.9877	1.30636	2.97479	2.03551	1.10581
BIRC2	0.296434	0.9362	0.530627	0.228504	0.445884	0.669004	0.875214	1.66727
BIRC3	0.6260105	1.6261005	1.09684	1.20767165	0.425817	0.8754325	0.7421595	1.4076760000000001
BIRC5	0.0	0.0	0.00574845	0.0	0.0	0.0	0.0	0.0
BIRC6	0.754202	0.554378	1.29405	1.11198	0.916537	0.603289	1.14633	0.214183
BIRC6-AS2	0.109994	0.0458707	0.728797	0.379972	0.381362	0.655175	0.0710209	0.16057
BIRC7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIVM	0.233899	0.324631	0.593119	0.0	0.702263	0.219849	0.183501	0.543224
BIVM-ERCC5	0.047289731849999996	0.0	1.787195e-08	2.40714e-07	0.0912915	0.0	4.266305e-05	0.000199078
BLACAT1	0.0	0.0	0.1901955	0.0	0.0	0.0	0.0	0.0863885
BLCAP	0.0545174	0.0	0.0	0.0	0.224326	0.106121	0.0	0.177706
BLK	0.0	0.0	0.0	0.0	0.0817304	0.0	0.0	0.0
BLM	0.0240666	0.0	0.0	0.0	0.441676	0.0	0.52454	0.0
BLMH	0.4693235	0.570208	0.27023050000000004	0.23254149999999998	0.5566435000000001	0.3253665	0.5465265	0.60045
BLNK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BLOC1S1	1.9700335	0.2994605	1.6659899999999999	0.5980639999999999	1.0557050000000001	0.2791905	1.11501	0.8168925
BLOC1S2	1.39467	1.1147	1.03687	0.860858	1.6034	1.78787	0.686571	1.11893
BLOC1S2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BLOC1S3	0.4303255	0.1032128	0.2324005	0.672563	0.591072	0.174968	0.739267	0.7555940000000001
BLOC1S5	1.05077	1.34834	1.6784	1.36647	1.16038	1.32087	0.904109	0.414272
BLOC1S5-TXNDC5	3.01931	0.485772	3.00052	2.18955	2.81409	0.00171705	1.35053e-09	8.26091e-08
BLOC1S6	0.371258	0.322868	0.263195	0.654827	0.436456	0.483087	0.370012	0.500576
BLOC1S6P1	0.150053	0.071103	0.0733631	0.375697	0.439034	0.201206	0.349415	0.182081
BLVRA	0.549499	0.5808245	1.777075	0.6505960000000001	1.046665	0.6270985	0.256619	0.071236
BLVRB	0.475343	0.0	0.106991	0.306875	0.0	0.171264	0.0	0.339832
BLZF1	2.0524925	2.744315	2.326975	1.74425	1.9932100000000001	2.3309699999999998	2.370066	3.110895
BLZF2P	0.0	0.0591121	0.0748148	0.394383	0.0697092	0.294255	0.0424523	0.135674
BMERB1	0.0	3.55843e-06	0.0	0.072467	0.0524085	0.0	1.848855e-07	0.0566545
BMF	0.0	0.0	0.0	0.125494	0.0	0.141267	1.93047e-06	0.000165159
BMI1	0.926283	0.972337	0.831958	1.65939	0.533417	1.63413	0.838166	1.55405
BMI1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP2K	0.248073	0.196826	0.0	0.162091	0.102232	0.0	0.21318	0.0757054
BMP2KL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP6P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPER	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR1A	0.547978	0.1104474035	0.236387	0.2632675	0.7341445	0.2425555	0.27046402999999997	0.7561845
BMPR1AP1	0.0293422	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR1AP2	0.0	0.0548359	0.0	0.382531	0.0	0.170349	0.0	0.0
BMPR1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	0.178118	0.437614	0.685278	0.366523	0.263385	0.124939	0.328588	0.711479
BMS1P1	0.609715	1.46453	0.64534095	0.761925	0.510275	0.835865	0.8396	1.004935
BMS1P10	0.34912	0.51282	0.2054485	0.273316	0.398629	0.3095895	0.1247305	0.283453
BMS1P11	0.0	0.0723441	0.0	0.0	0.0	0.0	0.0	0.0
BMS1P12	0.0851374	0.113242	0.0815151	0.0	0.229292	0.0820712	0.350009	0.0
BMS1P13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMS1P15	0.0	0.186276	6.13568e-09	0.0855528	0.0	0.0	0.0620133	0.0
BMS1P16	0.133749	0.0591401	0.0483149	0.0	0.0	0.0	0.239142	0.429355
BMS1P17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMS1P19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMS1P2	2.12756	3.905035	0.8680779999999999	2.31185	1.51761	1.3633015	1.01693945	1.217441
BMS1P21	0.0	0.0	0.0	0.323088	0.0	0.147523	0.0	0.0
BMS1P22	0.0	0.0	0.0863043	0.0	0.0	0.0	0.0	0.0
BMS1P3	0.0506789	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMS1P4	1.24925	2.026473	1.1677595	2.7855555	2.0746875	1.7384074999999999	2.4315274999999996	1.7634759999999998
BMS1P7	0.0	0.0	0.0905397	0.0	0.0	0.341735	0.0	0.0
BMS1P8	0.066373	0.03151405	0.1273145	0.0171502	0.0333804	0.035571	0.0	0.0517162
BMS1P9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMT2	0.245188	0.81308	0.1484374	1.6662050000000002	1.0536349999999999	2.442995	0.811055	2.8174095
BMX	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP1	0.0	0.171486	0.4550635	0.0	0.0174273	0.1471275	0.159322	0.1529545
BNIP2	0.8524244999999999	0.4528365	1.19504	0.580835	1.3474300000000001	0.728487	0.8465085000000001	0.7700305000000001
BNIP3	5.121325000000001	4.600975	3.21733	2.974835	4.92674	8.090695	4.8069299999999995	8.62428
BNIP3L	4.9985227	6.847894999999999	9.84121	1.610425	15.0872	7.721095	14.19055	11.646755
BNIP3P1	0.01812865	0.0	0.050014	0.053343	0.1989795	0.2100605	0.120963	0.04959115
BNIP3P10	0.314194	0.288623	0.165025	1.14859	0.156196	0.150165	0.491519	0.361861
BNIP3P11	1.53994	1.79341	0.595619	0.383763	0.644833	1.16369	0.406505	1.28251
BNIP3P13	0.0	0.14832	0.0	0.0841871	0.0	0.0	0.0	0.186268
BNIP3P15	0.383213	0.0	0.199214	0.0	0.0	0.0	0.0	0.219307
BNIP3P16	0.0	0.0	0.0	0.182143	0.313687	0.0	0.327765	0.0
BNIP3P17	0.151057	0.0	0.0	0.236298	0.0	0.360414	0.0	0.224001
BNIP3P18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P22	0.0	0.0	0.0	0.0	0.0	0.078885	0.103367	0.26386
BNIP3P23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P24	0.0	0.0	0.0	0.0430099	0.195666	0.0	0.0515573	0.0
BNIP3P25	0.408995	0.0	0.686845	0.256802	0.650782	0.548236	0.820937	0.0
BNIP3P26	0.16552	0.0	0.868363	0.173292	0.0	0.237819	1.14275	0.654662
BNIP3P27	0.122897	0.0	0.384413	0.523948	0.36834	0.476694	0.0	0.600343
BNIP3P28	0.195694	0.313429	0.358549	0.345529	0.34984	0.253402	0.264812	0.264029
BNIP3P29	0.795959	0.0732423	0.0	0.207798	0.0	0.0	0.0	0.0
BNIP3P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P37	0.31442	0.346165	0.490959	0.507334	0.379328	0.269518	0.270517	0.390273
BNIP3P38	0.0	0.0	0.088875	0.0888135	0.0842971	0.0	0.426058	0.16755
BNIP3P39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P42	0.0	0.0	0.0	0.627101	0.0	0.0	0.200368	0.395269
BNIP3P5	0.134914	0.0	0.0	0.715915	0.0	0.120281	0.573105	0.0
BNIP3P6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BNIP3P8	0.0	0.0	0.0	0.0	0.0	0.0	0.102375	0.0807118
BNIP3P9	0.0	0.0	0.0	0.0	0.0	0.556246	0.520694	0.620316
BNIPL	0.0	0.0	0.0	0.04223825	0.0279611	1.18517e-06	0.0	0.0
BOC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOD1	0.443489	0.6024585	0.698321	0.7745405	0.4223875	1.312983	0.3927655	0.322304
BOD1L1	0.411131	0.2742	0.459619	0.865839	0.154092	0.48818	0.463197	0.65906
BOD1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOD1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOK	0.0	0.406265	0.0	0.0	0.0	0.0	0.0	0.0
BOLA1	1.761	1.51509	1.22445	1.36089	1.19991	2.36113	2.82788	2.0325
BOLA2	10.485555000000002	8.32068	11.294535	10.405255	9.448550000000001	8.372670000000001	13.065525	10.8854215
BOLA2-SMG1P6	8.18667	9.02315	9.33473	8.53859	6.7696	4.52992	8.22714	8.60891
BOLA2B	36.840500000000006	20.3595	37.73215	26.094299999999997	28.53505	26.66805	32.025	24.17225
BOLA2P1	0.284679	0.0	0.0	0.31452	0.0	0.0	0.0	0.0
BOLA2P2	0.080316	0.03698065	0.0843325	0.083986	0.319496	0.115267	0.33367955	0.039709
BOLA2P3	0.0	0.480727	0.0	0.0	0.0	0.0	0.0	1.82687
BOLA3	0.028664	0.40638399999999997	0.2301675	0.5120276500000001	0.17674	0.3226465	0.4759575	0.584315
BOLA3P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOLA3P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOLA3P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOLA3P4	0.0	0.0	0.0	0.0	0.128007	0.0	0.164116	0.0
BOLL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BORA	0.812182	0.0	0.427914	0.077054	0.379716	0.2314855	0.339352	0.3792205
BORCS5	5.51958	2.36474	5.19689	5.3528	4.93928	2.50304	5.74267	2.66822
BORCS7	4.715508	2.8988300000000002	7.350280000000001	5.58417	6.67517	4.296545	6.670695	4.52125
BORCS7-ASMT	0.155878	0.312397	0.193971	0.248032	0.400931	0.297581	0.262335	0.200161
BORCS8	0.8916915	1.2171465000000001	0.8342705	1.1387019999999999	0.7298385	0.994592	0.6950624999999999	1.4774150000000001
BORCS8-MEF2B	0.0	0.304866	0.267839	0.0	0.388485	0.0	1.1569e-08	0.132869
BPGM	0.0	0.345896	0.204733	0.856006	0.502476	1.26846	0.0	1.09595
BPHL	0.305759	0.39559	0.19949	0.344806	0.194706	0.20157	0.260069	0.142198
BPI	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFA2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFA3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFA4P	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFB1	0.048782	0.0924755	0.059521	0.0614155	0.10384	0.1021315	0.157858	0.0616295
BPIFB3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFB5P	0.0	0.0	0.0	0.037024	0.0	0.0	0.0	0.0
BPIFB6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPIFB9P	0.0	0.0	0.2842925	0.2835488	0.099765	0.1028348	0.394503	0.0
BPIFC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPNT1	0.5923685000000001	0.448299	0.346588	0.2697435	0.33424699999999996	0.9100885	0.22627	0.29895150000000004
BPNT2	1.6419108500000001	2.95459	3.747739	1.44937	2.76676	3.08676	4.194465	4.403773
BPNT2P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPTF	0.31041	0.35303700000000005	0.415399	0.433703	0.702949	0.27662699999999996	0.692583	0.46999749999999996
BPTFP1	1.02049	0.762977	0.783815	0.948779	1.75094	1.56632	0.470129	0.73728
BPY2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPY2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPY2C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPY2DP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRAF	0.08689730000000001	0.12891249999999999	0.2929905	0.337094	0.3456455	0.1490625	0.2679175	0.274922
BRAFP1	0.027432	0.0662481	0.269051	0.0976638	0.0	0.127677	0.049309	0.0258895
BRAP	6.17595	6.984746	6.80282375	4.638412	7.087488	6.786669	8.106986000000001	8.49413
BRAT1	1.28447	0.728623	1.04531	1.18833	0.878678	1.37941	0.985174	1.03798
BRCA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRCA1P1	3.05447	0.0	0.0	3.36271	3.23955	0.0	2.00917	1.37714
BRCA2	0.4864385	0.322146	0.430469	0.517887	0.6385315	0.30553400000000003	0.606284	0.6010305
BRCC3	0.837376	0.0413314	0.15618	0.0	5.54582e-08	0.328498	0.0	0.745596
BRCC3P1	0.353416	0.446062	0.0	0.091347	0.132087	0.244957	0.0	0.0
BRD1	0.35907350000000005	0.1299457	0.0	0.1635933	0.1192905	0.5549014999999999	0.3135545	0.4757525
BRD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRD3	3.84611	1.39447	5.23499	5.01283	5.29675	4.9098	4.04297	5.37007
BRD3OS	0.3737915	0.78711	0.0806405	0.7776445000000001	0.33952875	0.254128	0.3086715	1.3004864999999999
BRD4	0.7962895	0.8646215	1.3173345	0.8927339999999999	0.8832005	0.6913670000000001	0.8842275	0.880101
BRD7	7.5447695	4.5673580000000005	5.8474699999999995	6.834545	7.68533	5.9482645	8.56667	3.513975
BRD7P1	0.0	0.0	0.0	0.00995762	0.029274	0.0	0.0	0.0
BRD7P2	0.0	0.0	0.0521121	0.0238389	0.0241507	0.0650052	0.0	0.0230915
BRD7P3	0.130467	0.0214641	0.166769	0.609007	0.491741	0.120549	0.250002	0.223867
BRD7P4	0.0257635	0.0	0.0	0.0	0.203657	0.0	0.364745	0.0488458
BRD7P5	0.0208909	0.0	0.0224351	0.0	0.0	0.0	0.0	0.0593129
BRD7P6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRD8	0.492821	0.620162	0.245549	0.404891	0.399825	0.873798	0.748432	0.549026
BRD9	0.01483725	0.2464575	0.18842599999999998	0.178539	0.19484800000000002	0.19235750000000001	0.221594	0.278809
BRD9P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRD9P2	0.311569	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRDT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRDTP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRF1	0.0	0.0873163	0.214955	0.156042	0.126476	0.1325	0.0957126	0.183478
BRF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRI3	0.156024	0.311377	0.0682465	0.3202985	0.235104	0.2229535	0.31780149999999996	0.5397575
BRI3BPP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRI3P1	0.138558	0.401535	0.0	0.741819	0.416454	0.269356	0.356511	0.673129
BRI3P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRI3P3	0.0	0.264622	0.0	0.0	0.0	0.0	0.0	0.0
BRICD5	0.0	0.0	0.0	0.137577	0.212587	0.0	0.0	0.116711
BRINP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRINP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRINP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRIP1	0.15679359999999998	0.676161	0.45010100000000003	0.296087	0.451638	0.397081	0.624154	0.653803
BRIX1	2.06336	0.6758595000000001	1.451385	1.009593	0.7914235000000001	1.789083	0.9565465	1.76714
BRIX1P1	0.0457613	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRK1P1	0.301423	0.0	0.0	0.0	0.623852	0.0	0.0	0.0
BRK1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRME1	0.0	0.08584744999999999	0.0	0.1251575	0.0	0.0	0.039437300179329504	0.02781345
BRMS1	0.7845405	1.240102	0.5292060000000001	0.603862	0.371832	0.8049759999999999	1.015447	1.014407
BRMS1L	0.0	0.521289	0.0	0.0	0.0	0.467434	0.120586	0.202114
BROX	0.270205001106915	0.4167645	0.1757375	0.6682725	0.3781015	0.435392	0.9290325	0.4977585
BRPF1	1.43003	1.49014	2.68364	2.41833	1.45861	1.7464	1.86267	1.88171
BRPF3	0.00281504	0.1548516	4.082475e-11	1.52248e-07	0.181973	0.1459745	0.251884	0.447287
BRSK1	0.0	0.0	0.0061858	0.0	0.0	0.0139035	0.0	0.0481445
BRSK2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRWD1	0.373092	0.0	0.352079	0.153861	1.09887	0.143389	0.513581	0.293768
BRWD1P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRWD1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRWD1P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRWD3	0.07338825	0.219398	0.3710595	0.785225	0.3811035	0.2349945	0.422832	0.475292
BSCL2	0.234291	0.240045	0.0	0.0	0.0	0.0	0.215931	0.162136
BSDC1	0.564572	0.327336	0.420151	0.451744	0.357825	0.454792	0.793105	0.65579
BSG	0.0	0.104624	0.109788	0.114204	0.0	0.0	0.177675	0.164055
BSN	0.0960625	0.0	0.152533	0.0283871	0.0238637	0.0	0.0	0.0
BSNDP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSNDP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSNDP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSNDP4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSPH1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSPRY	0.13671	0.0	0.0	0.0	0.191967	0.278736	0.0	0.111366
BST1	0.051049	0.2858925	0.128711	0.162322	0.1894375	0.0890515	0.20291399999999998	0.113954
BST2	0.0	0.0	0.0	0.265681	0.0	0.0	0.0	0.0
BTAF1	0.0	0.125281	0.0	0.0	0.0	0.0	0.0	0.0
BTBD1	1.5622449999999999	3.247285	2.54809	4.454725	2.8577700000000004	2.06624	2.63893	5.1662099999999995
BTBD10	0.1702685	0.17387135	0.48639299999999996	0.30734799999999995	0.462785	0.289899	0.2598395	0.9241474999999999
BTBD10P1	0.0	0.0	0.0	0.0	0.0295778	0.0273921	0.0	0.056861
BTBD10P2	0.064382	0.404586	0.13571	0.200212	0.191758	0.0	0.0797504	0.0
BTBD11	0.825044	0.1859875	0.45382	0.592473	0.2595305	0.461573	0.6804429999999999	1.474003
BTBD16	0.0	0.0	0.0	0.0	0.0094919	0.0	0.0	0.0
BTBD18	0.0	0.0	0.22524	0.422598	0.120775	0.678148	0.0	0.0
BTBD19	0.0857545	0.125397	0.0	0.0	0.0	0.179182	0.0	0.0931907
BTBD2	0.0551194	0.186458	0.177474	0.424325	0.0	0.167789	0.106358	0.344689
BTBD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTBD6	2.6769049999999996	4.350375	2.554215	2.82419	1.930805	1.185425	2.933545	1.956437
BTBD6P1	0.0	0.0	0.0334054	0.0316517	0.0	0.230171	0.149174	0.83883
BTBD7	0.428345	0.767573	0.250696	0.344998	0.539509	0.0176952	0.269377	0.602845
BTBD7P1	0.260529	0.628548	0.390796	0.6815	0.802843	0.372449	0.982528	0.462852
BTBD7P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTBD8	0.0	0.0596925	0.095958	0.1225775	0.094615	0.1963145	0.128256	2.694955e-05
BTBD9	0.1774675	0.8700455	0.46597900000000003	0.534488	0.8705765000000001	0.7576738500000001	0.872784	0.2538105
BTC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTD	0.2343855	0.40515	0.5243344999999999	0.1301575	0.348566	0.3178125	0.6292705000000001	0.0700255
BTF3	0.95559	1.13764	0.584732	0.823325	0.672938	1.67102	1.32988	1.35246
BTF3L4	1.85667	2.84008	1.00649	0.591473	0.681917	2.13219	1.32992	1.83673
BTF3L4P1	0.214741	0.0	0.229234	0.0	0.0	0.0	0.0	0.108417
BTF3L4P2	25.5966	14.2851	27.5761	28.4976	37.2648	20.4688	28.5106	12.2961
BTF3L4P3	0.0	0.100772	0.0	0.0	0.0	0.0	0.0	0.0
BTF3L4P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTF3P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTF3P10	0.100196	0.0	0.209173	7.28018e-05	0.185142	0.000114832	0.00163379	0.000253118
BTF3P11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTF3P12	0.0	0.78018	0.215521	0.217773	1.33502	0.199023	0.0	0.10136
BTF3P13	0.097578	0.0	0.101892	0.0	0.0	0.0	0.0	0.0
BTF3P14	0.202077	0.0	0.0	0.0	0.100644	0.0	0.0	0.0
BTF3P15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTF3P2	5.93843e-06	0.0926928	0.0	0.312904	0.0124791	0.0952957	0.123345	0.0974549
BTF3P3	2.5688	0.468981	0.642242	1.69915	1.47329	0.47599	0.941374	0.457993
BTF3P4	0.192561	0.270771	0.0	0.202847	0.479112	0.277936	0.121686	0.284942
BTF3P5	0.106452	0.0	0.222451	0.111218	0.105609	0.0	0.267225	0.103705
BTF3P6	0.0	0.801621	0.0	0.0	0.283372	0.0	0.0	0.0
BTF3P7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
